,SPX,V1_raw,V1_pctl_5y,V1_pctl_10y,V1_delta_4q,V1_delta_zscore
1999-08-31,1320.41,40.074043517,80.0,50.0,0.36310285510000284,0.5048026527652328
1999-09-30,1282.71,39.3826945197,25.0,25.0,-0.07319338409999432,0.24234881907793018
1999-10-31,1362.93,39.3826945197,25.0,25.0,-0.07319338409999432,0.24234881907793018
1999-11-30,1388.95,39.3826945197,25.0,25.0,-0.07319338409999432,0.24234881907793018
1999-12-31,1469.25,38.6678461627,10.0,15.0,-1.183030787299998,-0.44821214891883576
2000-01-31,1394.46,38.6678461627,10.0,15.0,-1.183030787299998,-0.44821214891883576
2000-02-29,1359.78,38.6678461627,10.0,15.0,-1.183030787299998,-0.44821214891883576
2000-03-31,1498.58,38.4492545821,5.0,15.0,-1.2694497024000029,-0.47177792402328467
2000-04-30,1456.04,38.4492545821,5.0,15.0,-1.2694497024000029,-0.47177792402328467
2000-05-31,1420.65,38.4492545821,5.0,15.0,-1.2694497024000029,-0.47177792402328467
2000-06-30,1454.6,39.1082632875,10.0,22.5,-0.9657802294999982,-0.2411193546316804
2000-07-31,1430.84,39.1082632875,10.0,22.5,-0.9657802294999982,-0.2411193546316804
2000-08-31,1517.59,39.1082632875,10.0,22.5,-0.9657802294999982,-0.2411193546316804
2000-09-30,1436.48,39.7423100261,55.00000000000001,50.0,0.3596155063999973,0.6537451510903551
2000-10-31,1429.39,39.7423100261,55.00000000000001,50.0,0.3596155063999973,0.6537451510903551
2000-11-30,1314.95,39.7423100261,55.00000000000001,50.0,0.3596155063999973,0.6537451510903551
2000-12-31,1320.5,39.393612274,25.0,35.0,0.7257661112999969,0.9043982905416965
2001-01-31,1366.01,39.393612274,25.0,35.0,0.7257661112999969,0.9043982905416965
2001-02-28,1239.94,39.393612274,25.0,35.0,0.7257661112999969,0.9043982905416965
2001-03-31,1160.34,39.3160792738,20.0,30.0,0.8668246917000033,0.9753417459856927
2001-04-30,1249.48,39.3160792738,20.0,30.0,0.8668246917000033,0.9753417459856927
2001-05-31,1255.84,39.3160792738,20.0,30.0,0.8668246917000033,0.9753417459856927
2001-06-30,1226.99,38.0619103333,0.0,12.5,-1.0463529542000032,-0.30841433135381335
2001-07-31,1211.22,38.0619103333,0.0,12.5,-1.0463529542000032,-0.30841433135381335
2001-08-31,1133.58,38.0619103333,0.0,12.5,-1.0463529542000032,-0.30841433135381335
2001-09-30,1040.9,36.4900168593,0.0,0.0,-3.2522931668000012,-1.7327486542653525
2001-10-31,1059.78,36.4900168593,0.0,0.0,-3.2522931668000012,-1.7327486542653525
2001-11-30,1139.45,36.4900168593,0.0,0.0,-3.2522931668000012,-1.7327486542653525
