as_of_date,factor_raw,factor_pctl_5Y,factor_pctl_10Y
1985-02-28,14.708802255110209,0.0,0.0
1985-03-28,14.442831882078094,0.0,0.0
1985-04-30,14.418945656069319,0.0,0.0
1985-05-30,14.615786095114677,3.3333333333333335,1.6666666666666667
1985-06-30,14.430598037007902,1.6666666666666667,0.8333333333333334
1985-07-30,14.804252577854191,8.333333333333332,4.166666666666666
1985-08-31,14.656372441410667,6.666666666666667,3.3333333333333335
1985-09-30,14.72089050893595,10.0,5.0
1985-10-30,15.178434712580055,21.666666666666668,10.833333333333334
1985-11-30,14.715040580510083,10.0,5.0
1985-12-30,14.947929953715514,16.666666666666664,8.333333333333332
1986-01-31,15.890822461060267,36.666666666666664,18.333333333333332
1986-02-28,14.71350120340922,10.0,5.0
1986-03-28,14.513128766841737,5.0,2.5
1986-04-30,14.729937085000794,16.666666666666664,8.333333333333332
1986-05-30,14.90485338457827,21.666666666666668,10.833333333333334
1986-06-30,14.65489353435036,8.333333333333332,4.166666666666666
1986-07-30,15.27272321194456,36.666666666666664,18.333333333333332
1986-08-31,15.087301130920764,33.33333333333333,16.666666666666664
1986-09-30,14.917338174609693,25.0,12.5
1986-10-30,14.980458335492944,30.0,15.0
1986-11-30,15.097667825386338,38.333333333333336,19.166666666666668
1986-12-30,15.1118737146196,40.0,20.0
1987-01-31,16.53130232328853,78.33333333333333,39.166666666666664
1987-02-28,14.987506252592143,31.666666666666664,15.833333333333332
1987-03-28,14.807888366972938,21.666666666666668,10.833333333333334
1987-04-30,14.658177702788164,11.666666666666666,5.833333333333333
1987-05-30,15.361434110877148,56.666666666666664,28.333333333333332
1987-06-30,14.675009681429998,13.333333333333334,6.666666666666667
1987-07-30,14.58442873398002,6.666666666666667,3.3333333333333335
1987-08-31,14.619847804871647,10.0,5.0
1987-09-30,14.543478088537768,6.666666666666667,3.3333333333333335
1987-10-30,14.228147304398785,0.0,0.0
1987-11-30,14.74442192325258,30.0,15.0
1987-12-30,14.690138377383219,21.666666666666668,10.833333333333334
1988-01-31,15.188933541470062,60.0,30.0
1988-02-29,14.210147553776793,0.0,0.0
1988-03-29,13.744816306946309,0.0,0.0
1988-04-30,13.658664836880288,0.0,0.0
1988-05-30,14.222613946342252,5.0,2.5
1988-06-30,13.60646507906615,0.0,0.0
1988-07-30,13.864083093965613,5.0,2.5
1988-08-31,13.711294219164408,3.3333333333333335,1.6666666666666667
1988-09-30,13.591011437466635,0.0,0.0
1988-10-30,13.460849647670592,0.0,0.0
1988-11-30,13.542264320896885,1.6666666666666667,0.8333333333333334
1988-12-30,13.681433598218456,8.333333333333332,4.166666666666666
1989-01-31,13.91549688829285,15.0,7.5
1989-02-28,12.94316809379068,0.0,0.0
1989-03-28,12.660377881555243,0.0,0.0
1989-04-30,12.672375176402827,1.6666666666666667,0.8333333333333334
1989-05-30,13.053607013317597,5.0,2.5
