as_of_date,factor_raw,factor_pctl_5Y,factor_pctl_10Y
1990-04-30,11.65986,25.0,62.5
1990-05-31,11.65986,25.0,62.5
1990-06-30,11.65986,25.0,62.5
1990-07-31,11.606506,20.0,60.0
1990-08-31,11.606506,20.0,60.0
1990-09-30,11.606506,20.0,60.0
1990-10-31,11.583384,10.0,55.00000000000001
1990-11-30,11.583384,10.0,55.00000000000001
1990-12-31,11.583384,10.0,55.00000000000001
1991-01-31,11.598423,15.0,55.00000000000001
1991-02-28,11.598423,15.0,55.00000000000001
1991-03-31,11.598423,15.0,55.00000000000001
1991-04-30,11.565484,0.0,45.0
1991-05-31,11.565484,0.0,45.0
1991-06-30,11.565484,0.0,45.0
1991-07-31,11.419594,0.0,42.5
1991-08-31,11.419594,0.0,42.5
1991-09-30,11.419594,0.0,42.5
1991-10-31,11.306831,0.0,37.5
1991-11-30,11.306831,0.0,37.5
1991-12-31,11.306831,0.0,37.5
1992-01-31,11.110772,0.0,32.5
1992-02-29,11.110772,0.0,32.5
1992-03-31,11.110772,0.0,32.5
1992-04-30,10.858007,0.0,27.500000000000004
1992-05-31,10.858007,0.0,27.500000000000004
1992-06-30,10.858007,0.0,27.500000000000004
1992-07-31,10.688985,0.0,22.5
1992-08-31,10.688985,0.0,22.5
1992-09-30,10.688985,0.0,22.5
1992-10-31,10.551259,0.0,17.5
1992-11-30,10.551259,0.0,17.5
1992-12-31,10.551259,0.0,17.5
1993-01-31,10.467593,0.0,12.5
1993-02-28,10.467593,0.0,12.5
1993-03-31,10.467593,0.0,12.5
1993-04-30,10.430733,0.0,10.0
1993-05-31,10.430733,0.0,10.0
1993-06-30,10.430733,0.0,10.0
1993-07-31,10.365702,0.0,0.0
1993-08-31,10.365702,0.0,0.0
1993-09-30,10.365702,0.0,0.0
1993-10-31,10.417195,5.0,5.0
1993-11-30,10.417195,5.0,5.0
1993-12-31,10.417195,5.0,5.0
1994-01-31,10.380138,5.0,2.5
1994-02-28,10.380138,5.0,2.5
1994-03-31,10.380138,5.0,2.5
1994-04-30,10.401077,10.0,5.0
1994-05-31,10.401077,10.0,5.0
1994-06-30,10.401077,10.0,5.0
1994-07-31,10.466155,25.0,12.5
1994-08-31,10.466155,25.0,12.5
1994-09-30,10.466155,25.0,12.5
1994-10-31,10.60019,40.0,20.0
1994-11-30,10.60019,40.0,20.0
1994-12-31,10.60019,40.0,20.0
1995-01-31,10.713335,50.0,25.0
1995-02-28,10.713335,50.0,25.0
1995-03-31,10.713335,50.0,25.0
1995-04-30,10.903623,60.0,30.0
1995-05-31,10.903623,60.0,30.0
1995-06-30,10.903623,60.0,30.0
1995-07-31,11.096832,65.0,32.5
1995-08-31,11.096832,65.0,32.5
1995-09-30,11.096832,65.0,32.5
1995-10-31,11.203198,75.0,37.5
1995-11-30,11.203198,75.0,37.5
1995-12-31,11.203198,75.0,37.5
1996-01-31,11.242819,80.0,40.0
1996-02-29,11.242819,80.0,40.0
1996-03-31,11.242819,80.0,40.0
1996-04-30,11.263491,85.0,42.5
1996-05-31,11.263491,85.0,42.5
1996-06-30,11.263491,85.0,42.5
1996-07-31,11.292664,90.0,45.0
