as_of_date,V8_Ratio,margin_debt,market_cap,zscore_level,pctl_5y,pctl_10y,delta_4q,delta_8q,delta_4q_zscore,delta_8q_zscore,yoy_pct
1945-12-31,0.8190929788291942,1252.0,152852.0,,,,,,,,
1946-01-31,0.8190929788291942,1252.0,152852.0,,,,,,,,
1946-02-28,0.8190929788291942,1252.0,152852.0,,,,,,,,
1946-03-31,0.8190929788291942,1252.0,152852.0,,,,,,,,
1946-04-30,0.8190929788291942,1252.0,152852.0,,,,,,,,
1946-05-31,0.8190929788291942,1252.0,152852.0,,,,,,,,
1946-06-30,0.8190929788291942,1252.0,152852.0,,,,,,,,
1946-07-31,0.8190929788291942,1252.0,152852.0,,,,,,,,
1946-08-31,0.8190929788291942,1252.0,152852.0,,,,,,,,
1946-09-30,0.8190929788291942,1252.0,152852.0,,,,,,,,
1946-10-31,0.8190929788291942,1252.0,152852.0,,,,,,,,
1946-11-30,0.8190929788291942,1252.0,152852.0,,,,,,,,
1946-12-31,0.40502945668775914,594.0,146656.0,,,,,,,,
1947-01-31,0.40502945668775914,594.0,146656.0,,,,,,,,
1947-02-28,0.40502945668775914,594.0,146656.0,,,,,,,,
1947-03-31,0.40502945668775914,594.0,146656.0,,,,,,,,
1947-04-30,0.40502945668775914,594.0,146656.0,,,,,,,,
1947-05-31,0.40502945668775914,594.0,146656.0,,,,,,,,
1947-06-30,0.40502945668775914,594.0,146656.0,,,,,,,,
1947-07-31,0.40502945668775914,594.0,146656.0,,,,,,,,
1947-08-31,0.40502945668775914,594.0,146656.0,,,,,,,,
1947-09-30,0.40502945668775914,594.0,146656.0,,,,,,,,
1947-10-31,0.40502945668775914,594.0,146656.0,,,,,,,,
1947-11-30,0.40502945668775914,594.0,146656.0,,,,,,,,
1947-12-31,0.4391385703139564,636.0,144829.0,,,,,,,,
1948-01-31,0.4391385703139564,636.0,144829.0,,,,,,,,
1948-02-29,0.4391385703139564,636.0,144829.0,,,,,,,,
1948-03-31,0.4391385703139564,636.0,144829.0,,,,,,,,
1948-04-30,0.4391385703139564,636.0,144829.0,,,,,,,,
1948-05-31,0.4391385703139564,636.0,144829.0,,,,,,,,
1948-06-30,0.4391385703139564,636.0,144829.0,,,,,,,,
1948-07-31,0.4391385703139564,636.0,144829.0,,,,,,,,
1948-08-31,0.4391385703139564,636.0,144829.0,,,,,,,,
1948-09-30,0.4391385703139564,636.0,144829.0,,,,,,,,
1948-10-31,0.4391385703139564,636.0,144829.0,,,,,,,,
1948-11-30,0.4391385703139564,636.0,144829.0,,,,,,,,
1948-12-31,0.4201155491361591,605.0,144008.0,,,,,,,,
