,Construction,Nonfarm_Nonres,Multifamily,V9_CRE_Delinquency
2013-10-01,-9.9,-6.8,-9.7,-8.799999999999999
2014-01-01,-8.1,-6.7,-6.8,-7.2
2014-04-01,-4.2,-8.2,-5.6,-6.0
2014-07-01,-9.6,-8.1,1.4,-5.433333333333334
2014-10-01,-10.8,-6.7,1.3,-5.3999999999999995
2015-01-01,-2.8,-1.4,0.0,-1.3999999999999997
2015-04-01,-2.7,-7.9,4.0,-2.2000000000000006
2015-07-01,1.4,-8.5,-2.9,-3.3333333333333335
2015-10-01,4.3,4.4,7.4,5.366666666666667
2016-01-01,12.7,5.6,22.5,13.6
2016-04-01,24.6,11.6,36.2,24.133333333333336
2016-07-01,31.4,18.3,44.3,31.333333333333332
2016-10-01,27.5,18.8,42.0,29.433333333333334
2017-01-01,25.0,13.0,33.3,23.766666666666666
2017-04-01,32.4,12.5,36.1,27.0
2017-07-01,17.3,20.0,18.4,18.566666666666666
2017-10-01,2.9,4.2,22.2,9.766666666666666
2018-01-01,11.8,1.4,15.9,9.700000000000001
2018-04-01,4.3,-7.1,5.6,0.9333333333333332
2018-07-01,1.4,-2.9,7.1,1.8666666666666665
2018-10-01,6.0,2.9,2.9,3.9333333333333336
2019-01-01,13.0,7.0,16.9,12.299999999999999
2019-04-01,14.3,9.7,8.3,10.766666666666666
2019-07-01,5.6,5.5,6.8,5.966666666666666
2019-10-01,16.2,10.7,12.0,12.966666666666667
2020-01-01,7.4,1.4,0.0,2.9333333333333336
2020-04-01,52.4,52.3,49.2,51.29999999999999
2020-07-01,80.9,77.5,64.3,74.23333333333333
2020-10-01,56.7,55.1,44.9,52.23333333333334
2021-01-01,26.1,29.2,20.8,25.366666666666664
2021-04-01,14.3,0.0,-6.9,2.466666666666667
2021-07-01,-7.0,-4.1,-18.1,-9.733333333333334
2021-10-01,-9.4,-9.1,-21.2,-13.233333333333334
2022-01-01,-10.3,-14.5,-23.2,-16.0
2022-04-01,4.7,0.0,-9.2,-1.4999999999999998
2022-07-01,48.4,41.5,30.3,40.06666666666667
2022-10-01,57.6,52.9,39.7,50.06666666666666
2023-01-01,69.2,57.6,56.7,61.166666666666664
2023-04-01,73.8,66.7,64.5,68.33333333333333
2023-07-01,71.7,68.3,63.3,67.76666666666667
2023-10-01,64.9,67.2,65.5,65.86666666666667
2024-01-01,39.7,42.4,40.7,40.93333333333333
2024-04-01,24.6,30.6,33.9,29.7
2024-07-01,23.8,20.6,22.2,22.200000000000003
2024-10-01,14.8,16.4,19.7,16.966666666666665
2025-01-01,9.5,8.1,3.2,6.933333333333334
2025-04-01,11.1,10.9,1.6,7.866666666666667
2025-07-01,9.7,11.5,4.8,8.666666666666666
2025-10-01,6.6,3.3,1.6,3.8333333333333326
