date,clcc,cilm,cis,avg
1990-05-01,,54.4,52.7,53.55
1990-08-01,,46.7,33.9,40.3
1990-11-01,,54.2,40.7,47.45
1991-02-01,,38.6,31.6,35.1
1991-05-01,,20.0,6.9,13.45
1991-08-01,,18.6,8.8,13.7
1991-11-01,,16.7,7.0,11.85
1992-02-01,,10.0,0.0,5.0
1992-05-01,,3.5,-7.1,-1.7999999999999998
1992-08-01,,-3.4,-1.7,-2.55
1992-11-01,,5.2,-5.4,-0.1
1993-02-01,,3.4,-1.8,0.7999999999999999
1993-05-01,,-12.1,-1.8,-6.95
1993-08-01,,-25.0,-11.7,-18.35
1993-11-01,,-20.0,-8.5,-14.25
1994-02-01,,-18.6,-12.3,-15.45
1994-05-01,,-15.5,-8.9,-12.2
1994-08-01,,-10.3,-7.0,-8.65
1994-11-01,,-22.4,-17.5,-19.95
1995-02-01,,-10.2,-5.3,-7.75
1995-05-01,,-6.8,-7.0,-6.9
1995-08-01,,-8.6,-1.8,-5.2
1995-11-01,,-5.2,-1.8,-3.5
1996-02-01,25.0,6.9,3.5,11.8
1996-05-01,23.4,-1.8,1.8,7.8
1996-08-01,48.9,-7.4,-1.8,13.233333333333334
1996-11-01,48.9,-8.6,-12.3,9.333333333333332
1997-02-01,37.0,-8.9,-5.3,7.6
1997-05-01,45.8,-10.3,-3.5,10.666666666666666
1997-08-01,23.3,-5.8,-2.0,5.166666666666667
1997-11-01,25.0,-7.0,-3.5,4.833333333333333
1998-02-01,22.2,1.8,1.9,8.633333333333333
1998-05-01,16.3,-7.1,-1.8,2.4666666666666672
1998-08-01,20.0,0.0,-5.3,4.9
1998-11-01,15.9,36.4,14.8,22.366666666666664
1999-02-01,7.3,7.4,3.7,6.133333333333333
1999-05-01,13.3,10.0,8.3,10.533333333333331
1999-08-01,4.8,5.4,1.9,4.033333333333333
1999-11-01,4.9,9.1,1.9,5.3
2000-02-01,4.8,10.9,9.4,8.366666666666667
2000-05-01,2.6,24.6,21.4,16.2
2000-08-01,-2.6,33.9,23.6,18.3
2000-11-01,8.3,43.9,27.3,26.5
2001-02-01,11.8,59.6,45.5,38.96666666666667
2001-05-01,20.0,50.9,36.4,35.76666666666667
2001-08-01,11.4,40.4,31.6,27.8
2001-11-01,20.0,50.9,40.4,37.1
2002-02-01,18.2,45.5,41.8,35.166666666666664
2002-05-01,8.6,25.0,14.5,16.033333333333335
2002-08-01,14.7,21.4,5.5,13.866666666666664
2002-11-01,15.2,20.0,18.2,17.8
2003-02-01,16.2,22.0,13.8,17.333333333333332
2003-05-01,9.7,8.9,12.7,10.433333333333334
2003-08-01,0.0,3.4,3.5,2.3000000000000003
2003-11-01,2.9,0.0,-1.8,0.3666666666666666
2004-02-01,6.3,-17.9,-10.9,-7.5
2004-05-01,3.2,-22.8,-19.3,-12.966666666666669
2004-08-01,0.0,-20.0,-3.6,-7.866666666666667
2004-11-01,-2.9,-21.1,-18.2,-14.066666666666668
2005-02-01,-2.9,-23.6,-13.0,-13.166666666666666
2005-05-01,-8.3,-24.1,-24.1,-18.833333333333336
2005-08-01,-6.5,-16.7,-11.1,-11.433333333333332
2005-11-01,-3.0,-8.8,-5.3,-5.7
2006-02-01,3.1,-10.7,-7.1,-4.9
2006-05-01,-2.6,-12.3,-7.0,-7.3
2006-08-01,-3.0,-8.9,-1.8,-4.566666666666667
2006-11-01,-2.9,0.0,-1.9,-1.6
2007-02-01,0.0,0.0,5.4,1.8
2007-05-01,-11.1,-3.8,1.9,-4.333333333333333
2007-08-01,-3.1,7.5,7.7,4.033333333333334
2007-11-01,3.2,19.2,9.6,10.666666666666666
2008-02-01,9.8,32.1,30.4,24.100000000000005
2008-05-01,32.4,55.4,51.8,46.53333333333333
2008-08-01,66.7,57.7,65.4,63.26666666666667
2008-11-01,58.8,83.6,74.5,72.3
2009-02-01,58.8,64.2,69.2,64.06666666666666
2009-05-01,58.1,39.6,42.3,46.66666666666666
2009-08-01,35.3,31.5,34.0,33.6
2009-11-01,15.8,14.0,16.1,15.300000000000002
2010-02-01,2.8,-5.5,3.7,0.3333333333333333
2010-05-01,9.1,-7.1,0.0,0.6666666666666666
2010-08-01,-7.9,-8.8,-9.1,-8.600000000000001
2010-11-01,-10.0,-10.5,-7.1,-9.2
2011-02-01,-10.0,-10.5,-1.9,-7.466666666666666
2011-05-01,-20.5,-16.4,-13.5,-16.8
2011-08-01,-9.3,-21.8,-7.8,-12.966666666666669
2011-11-01,-7.9,-5.9,-6.3,-6.7
2012-02-01,-11.6,5.4,1.9,-1.433333333333333
2012-05-01,-11.6,-6.9,-1.8,-6.766666666666667
2012-08-01,-10.9,-9.5,-4.9,-8.433333333333332
2012-11-01,-11.1,-7.6,-7.6,-8.766666666666666
2013-02-01,-2.0,-7.4,-7.7,-5.7
2013-05-01,-7.4,-19.1,-23.1,-16.533333333333335
2013-08-01,-3.6,-18.1,-10.0,-10.566666666666668
2013-11-01,-5.2,-8.3,-7.1,-6.866666666666667
2014-02-01,-7.0,-13.7,-4.2,-8.299999999999999
2014-05-01,-9.3,-11.1,-7.0,-9.133333333333333
2014-08-01,-13.0,-10.7,-8.3,-10.666666666666666
2014-11-01,-8.8,-10.5,-8.2,-9.166666666666666
2015-02-01,-1.9,-5.5,-5.7,-4.366666666666667
2015-05-01,-1.8,-5.3,-1.4,-2.833333333333333
2015-08-01,-7.7,-7.0,-6.0,-6.9
2015-11-01,-5.8,7.4,1.5,1.0333333333333334
2016-02-01,-1.9,8.2,4.2,3.5
2016-05-01,-5.7,11.6,5.8,3.9
2016-08-01,-5.6,8.5,7.1,3.333333333333333
2016-11-01,0.0,1.5,-1.5,0.0
2017-02-01,8.3,1.4,0.0,3.233333333333334
2017-05-01,-7.8,-2.8,-2.9,-4.5
2017-08-01,5.8,-3.9,-4.1,-0.7333333333333333
2017-11-01,9.1,-8.5,-8.8,-2.733333333333334
2018-02-01,1.9,-10.0,0.0,-2.7
2018-05-01,9.4,-11.3,-3.0,-1.6333333333333335
2018-08-01,12.0,-15.9,-7.6,-3.8333333333333335
2018-11-01,-2.2,-15.9,-3.1,-7.066666666666667
2019-02-01,6.4,2.8,4.3,4.5
2019-05-01,15.2,-4.2,0.0,3.6666666666666665
2019-08-01,8.5,-2.8,-5.8,-0.0333333333333332
2019-11-01,10.4,5.4,5.6,7.133333333333333
2020-02-01,13.6,0.0,-1.4,4.066666666666666
2020-05-01,38.5,41.5,39.7,39.9
2020-08-01,71.7,71.2,70.0,70.96666666666667
2020-11-01,26.7,37.7,31.3,31.9
2021-02-01,-12.8,5.5,11.4,1.3666666666666665
2021-05-01,-27.1,-15.1,-12.9,-18.366666666666667
