date,st_debt
1945-10-01,27.337631653793355
1946-01-01,
1946-04-01,
1946-07-01,
1946-10-01,31.462394817335948
1947-01-01,
1947-04-01,
1947-07-01,
1947-10-01,32.78397213157195
1948-01-01,
1948-04-01,
1948-07-01,
1948-10-01,30.735172604842138
1949-01-01,
1949-04-01,
1949-07-01,
1949-10-01,26.928010385835016
1950-01-01,
1950-04-01,
1950-07-01,
1950-10-01,30.248669767230563
1951-01-01,
1951-04-01,
1951-07-01,
1951-10-01,32.771969153287664
1952-01-01,31.97896360000752
1952-04-01,31.15935748898733
1952-07-01,31.27089470221224
1952-10-01,31.8893561916043
1953-01-01,31.780664194356845
1953-04-01,31.35304312786334
1953-07-01,31.44430960941108
1953-10-01,30.36184859186491
1954-01-01,29.898498775597115
1954-04-01,28.99848699302065
1954-07-01,28.46581298770816
1954-10-01,28.715296327571643
1955-01-01,28.520669146409386
1955-04-01,28.808509389179164
1955-07-01,29.17825385912864
1955-10-01,30.090954179090616
1956-01-01,31.069729462080385
1956-04-01,31.613625191186145
1956-07-01,31.67294925119388
1956-10-01,32.258425001847485
1957-01-01,32.06341769297974
1957-04-01,32.37524723624052
1957-07-01,31.85214984633952
1957-10-01,31.602463670803186
1958-01-01,30.818781985586767
1958-04-01,30.27338220537452
1958-07-01,29.452611420892975
1958-10-01,29.746554024010678
1959-01-01,29.753108360541116
1959-04-01,30.713692851701516
1959-07-01,30.814302149807038
1959-10-01,31.351534502429253
1960-01-01,32.11165888254627
1960-04-01,32.68220308418207
1960-07-01,32.21927309648103
1960-10-01,32.659134819784455
1961-01-01,32.4374466611421
1961-04-01,31.91026359763512
1961-07-01,31.58518001292715
1961-10-01,32.11487226682911
1962-01-01,31.70398927210839
1962-04-01,31.958398314765393
1962-07-01,31.92660111184473
1962-10-01,32.58123163280536
1963-01-01,32.295669297552315
1963-04-01,32.41989836663217
1963-07-01,32.191403635751456
1963-10-01,33.029560708501705
1964-01-01,32.88625745355702
1964-04-01,33.383378481550814
1964-07-01,33.35374706506795
1964-10-01,34.09489632537342
1965-01-01,34.7156424601344
1965-04-01,35.532407407407405
1965-07-01,35.47920401631104
1965-10-01,36.9034490443657
1966-01-01,36.84165683974685
1966-04-01,37.65093827437042
1966-07-01,37.33009708737864
1966-10-01,37.67628883506191
1967-01-01,37.60991215407919
1967-04-01,37.856524443035354
1967-07-01,36.80927091226832
1967-10-01,37.56202172508641
1968-01-01,37.00966085903324
1968-04-01,37.43647836225182
1968-07-01,37.302130525949835
1968-10-01,38.06628196858493
1969-01-01,38.10396534488504
1969-04-01,39.33079378828594
1969-07-01,39.71972217211941
1969-10-01,40.42577638481297
1970-01-01,38.991733167115335
1970-04-01,39.26796009202892
1970-07-01,38.37169555397361
1970-10-01,37.7224282078448
1971-01-01,37.04832946895704
1971-04-01,36.88393439944576
1971-07-01,36.821697448115806
1971-10-01,36.223473253327725
1972-01-01,36.252321492077286
1972-04-01,36.518886465613996
1972-07-01,36.220112400060586
1972-10-01,37.089659933961
1973-01-01,38.077749274346026
1973-04-01,38.29714259160059
1973-07-01,37.56382355790382
1973-10-01,37.35764807562714
1974-01-01,37.82309012284777
1974-04-01,38.99602545631424
1974-07-01,39.80343445067598
1974-10-01,40.26368814871783
1975-01-01,38.86453201190384
1975-04-01,37.586324549924974
1975-07-01,36.65195706543194
1975-10-01,36.06795371588478
1976-01-01,35.25485241160447
1976-04-01,35.34858629984824
1976-07-01,34.68231532116044
1976-10-01,34.96038642981288
1977-01-01,35.09998859968786
1977-04-01,35.63321278683892
1977-07-01,35.151051440975515
1977-10-01,35.413742953392074
1978-01-01,35.87655042794721
1978-04-01,36.18035911733382
1978-07-01,35.739549626608024
1978-10-01,36.34195238646539
1979-01-01,36.92414311941141
1979-04-01,37.94123783320801
1979-07-01,38.51793474525138
1979-10-01,39.25381595708261
1980-01-01,40.20517992228068
1980-04-01,39.56681958846843
1980-07-01,39.545588383241466
1980-10-01,40.5846570497668
1981-01-01,40.62566258996196
1981-04-01,41.270333580913984
1981-07-01,42.11826777103932
1981-10-01,43.0255642273613
1982-01-01,43.72892422809024
1982-04-01,44.81531814016296
1982-07-01,45.34596489641345
1982-10-01,44.81764242587063
1983-01-01,44.13658828815337
1983-04-01,43.682269917284
1983-07-01,43.81955032226165
1983-10-01,44.66656305723232
1984-01-01,45.56235601307316
1984-04-01,46.65682434037
1984-07-01,46.6523501796288
1984-10-01,46.86152260477425
1985-01-01,47.262549233218806
1985-04-01,46.75987237394944
1985-07-01,46.50539803051761
1985-10-01,46.50231476978739
1986-01-01,45.87239987884712
1986-04-01,45.40151723380008
1986-07-01,45.02904838125681
1986-10-01,45.74200729191428
1987-01-01,44.1300003988624
1987-04-01,44.02767946818374
1987-07-01,43.577575360052215
1987-10-01,43.76383378359179
1988-01-01,43.87578738532935
1988-04-01,43.88845506297408
1988-07-01,43.772938801942814
1988-10-01,43.98910594058761
1989-01-01,44.32595117247073
1989-04-01,44.805203282059765
1989-07-01,44.58636736989295
1989-10-01,45.03913341112703
1990-01-01,45.40919825128518
1990-04-01,45.44781900649538
1990-07-01,45.45486308007994
1990-10-01,45.06747824758936
1991-01-01,43.95830088565899
1991-04-01,43.044849297359406
1991-07-01,42.07413367252089
1991-10-01,41.11516535064696
1992-01-01,41.03093100182713
1992-04-01,40.544245095626565
1992-07-01,40.188630432005965
1992-10-01,40.262686206777474
1993-01-01,39.36949569132187
1993-04-01,38.85509991495688
1993-07-01,37.86564003357277
1993-10-01,37.19409868699499
1994-01-01,37.715081073293995
1994-04-01,37.76839795879747
1994-07-01,37.86279353886691
1994-10-01,38.2630838582298
1995-01-01,39.252071474947726
1995-04-01,39.699471529885614
1995-07-01,39.74691361879306
1995-10-01,40.1349885239891
1996-01-01,40.20245240803532
1996-04-01,40.22928405483525
1996-07-01,40.29866665789
1996-10-01,39.68276768940173
1997-01-01,39.88488976569657
1997-04-01,39.793086605104286
1997-07-01,39.22012006322541
1997-10-01,39.65095335261504
1998-01-01,39.71095735719437
1998-04-01,39.45587573454719
1998-07-01,39.85087218983557
1998-10-01,39.7186969973103
1999-01-01,40.07403805377582
1999-04-01,39.38269234751746
1999-07-01,38.6678499336165
1999-10-01,38.44926021119134
2000-01-01,39.10827040371407
2000-04-01,39.74231132082649
2000-07-01,39.3936141891177
2000-10-01,39.31608410112927
2001-01-01,38.06190707828127
2001-04-01,36.49001894527083
2001-07-01,35.52393117416302
2001-10-01,34.047595604046386
2002-01-01,33.312498748146936
2002-04-01,32.29209801527231
2002-07-01,32.04623766204971
2002-10-01,31.34865949910117
2003-01-01,30.87403928041771
2003-04-01,29.80772424142652
2003-07-01,29.14190425539206
2003-10-01,28.82470115317378
2004-01-01,28.11904597113096
2004-04-01,28.35107337362012
2004-07-01,28.507141088542493
2004-10-01,29.010042221179987
2005-01-01,29.42077450458841
2005-04-01,29.592069215237515
2005-07-01,29.16891509633432
2005-10-01,28.987456427361593
2006-01-01,29.185025813363552
2006-04-01,29.64723869145327
2006-07-01,29.394743707222364
2006-10-01,29.771412810781342
2007-01-01,30.320871151559185
2007-04-01,31.036722110682707
2007-07-01,32.02310426604378
2007-10-01,32.7985848206543
2008-01-01,33.30231014040436
2008-04-01,33.118722588931256
2008-07-01,33.74524577947552
2008-10-01,33.512013172761485
2009-01-01,31.45601721343648
2009-04-01,30.06161915068197
2009-07-01,28.39448737628004
2009-10-01,26.539173182170405
2010-01-01,25.602818359706394
2010-04-01,24.91814558712264
2010-07-01,24.68552286736374
2010-10-01,23.252327417022165
2011-01-01,23.710609589987023
2011-04-01,24.193273463516647
2011-07-01,25.02399321595566
2011-10-01,25.582351789732368
2012-01-01,25.38901615617286
2012-04-01,25.586788689964347
2012-07-01,25.80818926815339
2012-10-01,25.567002829725386
2013-01-01,25.54448711033292
2013-04-01,25.968676179868915
2013-07-01,25.775778615021743
2013-10-01,25.89167007074156
2014-01-01,26.481265248266844
2014-04-01,26.43957042126729
2014-07-01,26.928785897312103
2014-10-01,26.95467224980743
2015-01-01,26.96185780133802
2015-04-01,26.497622677369165
2015-07-01,26.083269475168308
2015-10-01,25.748450811029045
2016-01-01,25.87192474415022
2016-04-01,25.37315840639674
2016-07-01,24.90112913615961
2016-10-01,24.54338842231396
2017-01-01,24.936111791526233
2017-04-01,25.068531423695145
2017-07-01,25.027180802318107
2017-10-01,25.57772025582797
2018-01-01,25.636047966754656
2018-04-01,27.91212328651437
2018-07-01,27.78542389273503
2018-10-01,28.10936114817813
2019-01-01,28.596792360368127
2019-04-01,28.52169843041061
2019-07-01,28.01753853907602
2019-10-01,27.927301263558736
2020-01-01,31.15164204081204
2020-04-01,29.7730185014893
2020-07-01,28.265718670418515
2020-10-01,27.745338348740727
2021-01-01,27.88669226779169
2021-04-01,28.47613872403389
2021-07-01,28.35175101751496
2021-10-01,29.204927677607763
2022-01-01,30.100940585959613
2022-04-01,30.827874228381823
2022-07-01,30.767402743878517
2022-10-01,30.55388023270222
2023-01-01,30.192150533250672
2023-04-01,29.977289086834592
2023-07-01,29.87573393932018
2023-10-01,29.80791586516155
2024-01-01,29.74685342234476
2024-04-01,29.824574099687627
2024-07-01,29.465186045083964
2024-10-01,29.11906193022932
2025-01-01,28.923175331203197
2025-04-01,29.351212785879596
2025-07-01,29.189290142802903
