date,uninsured,time_savings,ratio
1945-10-01,,53074.0,
1946-01-01,,,
1946-04-01,,,
1946-07-01,,,
1946-10-01,,59530.0,
1947-01-01,,,
1947-04-01,,,
1947-07-01,,,
1947-10-01,,63064.0,
1948-01-01,,,
1948-04-01,,,
1948-07-01,,,
1948-10-01,,65521.0,
1949-01-01,,,
1949-04-01,,,
1949-07-01,,,
1949-10-01,,68381.0,
1950-01-01,,,
1950-04-01,,,
1950-07-01,,,
1950-10-01,,70955.0,
1951-01-01,,,
1951-04-01,,,
1951-07-01,,,
1951-10-01,,75666.0,
1952-01-01,,77397.0,
1952-04-01,,79634.0,
1952-07-01,,81061.0,
1952-10-01,,83530.0,
1953-01-01,,85461.0,
1953-04-01,,88158.0,
1953-07-01,,89709.0,
1953-10-01,,92372.0,
1954-01-01,,94999.0,
1954-04-01,,98217.0,
1954-07-01,,100156.0,
1954-10-01,,102523.0,
1955-01-01,,104585.0,
1955-04-01,,107114.0,
1955-07-01,,108409.0,
1955-10-01,,110581.0,
1956-01-01,,112584.0,
1956-04-01,,115633.0,
1956-07-01,,117024.0,
1956-10-01,,119485.0,
1957-01-01,,122932.0,
1957-04-01,,126390.0,
1957-07-01,,128281.0,
1957-10-01,,131380.0,
1958-01-01,,136976.0,
1958-04-01,,142319.0,
1958-07-01,,144702.0,
1958-10-01,,147772.0,
1959-01-01,,150200.0,
1959-04-01,,153573.0,
1959-07-01,,154979.0,
1959-10-01,,156970.0,
1960-01-01,,158733.0,
1960-04-01,,162643.0,
1960-07-01,,166487.0,
1960-10-01,,171681.0,
1961-01-01,,177090.0,
1961-04-01,,183522.0,
1961-07-01,,187108.0,
1961-10-01,,191720.0,
1962-01-01,,199897.0,
1962-04-01,,207218.0,
1962-07-01,,211759.0,
1962-10-01,,219667.0,
1963-01-01,,228052.0,
1963-04-01,,235294.0,
1963-07-01,,240051.0,
1963-10-01,,248307.0,
1964-01-01,,255573.0,
1964-04-01,,263000.0,
1964-07-01,,268829.0,
1964-10-01,,277642.0,
1965-01-01,,287122.0,
1965-04-01,,294440.0,
1965-07-01,,301135.0,
1965-10-01,,309744.0,
1966-01-01,,316438.0,
1966-04-01,,322171.0,
1966-07-01,,324352.0,
1966-10-01,,329201.0,
1967-01-01,,342349.0,
1967-04-01,,353308.0,
1967-07-01,,361247.0,
1967-10-01,,368674.0,
1968-01-01,,377180.0,
1968-04-01,,381174.0,
1968-07-01,,390575.0,
1968-10-01,,400659.0,
1969-01-01,,402550.0,
1969-04-01,,402124.0,
1969-07-01,,396218.0,
1969-10-01,,397481.0,
1970-01-01,,400903.0,
1970-04-01,,412415.0,
1970-07-01,,432405.0,
1970-10-01,,450075.0,
1971-01-01,,478845.0,
1971-04-01,,495552.0,
1971-07-01,,509940.0,
1971-10-01,,528641.0,
1972-01-01,,552565.0,
1972-04-01,,572541.0,
1972-07-01,,592926.0,
1972-10-01,,612961.0,
1973-01-01,,643325.0,
1973-04-01,,661790.0,
1973-07-01,,676143.0,
1973-10-01,,687395.0,
1974-01-01,,712183.0,
1974-04-01,,733608.0,
1974-07-01,,744243.0,
1974-10-01,,761931.0,
1975-01-01,,787232.0,
1975-04-01,,806750.0,
1975-07-01,,822215.0,
1975-10-01,,841989.0,
1976-01-01,,870590.0,
1976-04-01,,890940.0,
1976-07-01,,910013.0,
1976-10-01,,943363.0,
1977-01-01,,978958.0,
1977-04-01,,1000769.0,
1977-07-01,,1028143.0,
1977-10-01,,1056626.0,
1978-01-01,,1090446.0,
1978-04-01,,1112365.0,
1978-07-01,,1139201.0,
1978-10-01,,1163929.0,
1979-01-01,,1190277.0,
