date,profit,interest,icr
1947-01-01,30.665,0.767,39.98044328552803
1947-04-01,28.839,0.767,37.599739243807036
1947-07-01,28.431,0.768,37.01953125
1947-10-01,30.901,0.768,40.235677083333336
1948-01-01,32.117,0.803,39.99626400996264
1948-04-01,33.664,0.829,40.60796139927624
1948-07-01,32.829,0.873,37.60481099656357
1948-10-01,31.362,0.923,33.9783315276273
1949-01-01,28.045,0.997,28.12938816449348
1949-04-01,24.231,1.02,23.75588235294118
1949-07-01,25.306,1.008,25.10515873015873
1949-10-01,24.88,0.971,25.623069001029865
1950-01-01,29.063,0.946,30.721987315010573
1950-04-01,35.562,0.917,38.78080697928026
1950-07-01,43.787,0.919,47.64635473340587
1950-10-01,48.395,0.949,50.99578503688093
1951-01-01,47.479,1.02,46.54803921568627
1951-04-01,39.347,1.073,36.670083876980435
1951-07-01,35.112,1.122,31.294117647058822
1951-10-01,37.697,1.168,32.27482876712329
1952-01-01,35.655,1.23,28.98780487804878
1952-04-01,33.48,1.258,26.613672496025433
1952-07-01,33.435,1.271,26.306058221872544
1952-10-01,37.341,1.271,29.37922895357986
1953-01-01,39.342,1.279,30.75996872556685
1953-04-01,39.383,1.297,30.364687740940635
1953-07-01,38.385,1.343,28.581533879374533
1953-10-01,28.908,1.417,20.400846859562456
1954-01-01,31.143,1.566,19.886973180076627
1954-04-01,32.177,1.64,19.620121951219513
1954-07-01,34.465,1.688,20.417654028436022
1954-10-01,37.083,1.708,21.71135831381733
1955-01-01,42.191,1.696,24.87676886792453
1955-04-01,42.857,1.695,25.284365781710914
1955-07-01,43.988,1.699,25.8905238375515
1955-10-01,45.976,1.709,26.902282036278525
1956-01-01,44.166,1.75,25.237714285714283
1956-04-01,45.167,1.789,25.24706539966462
1956-07-01,42.231,1.851,22.81523500810373
1956-10-01,44.936,1.937,23.19876097057305
1957-01-01,45.543,2.062,22.086808923375365
1957-04-01,43.089,2.186,19.71134492223239
1957-07-01,41.86,2.324,18.012048192771086
1957-10-01,37.912,2.476,15.311793214862682
1958-01-01,31.655,2.68,11.811567164179104
1958-04-01,32.346,2.813,11.498755776750798
1958-07-01,37.107,2.912,12.742788461538462
1958-10-01,43.113,2.981,14.46259644414626
1959-01-01,46.009,2.937,15.665304732720465
1959-04-01,50.558,2.983,16.948709353000336
1959-07-01,43.832,3.042,14.408941485864563
1959-10-01,42.116,3.109,13.546477967192024
1960-01-01,47.265,3.183,14.849198868991518
1960-04-01,42.763,3.268,13.085373317013465
1960-07-01,40.713,3.355,12.135022354694486
1960-10-01,38.393,3.446,11.141323273360417
1961-01-01,37.241,3.623,10.279050510626552
1961-04-01,40.661,3.743,10.863211327811916
1961-07-01,43.463,3.875,11.21625806451613
1961-10-01,47.677,4.029,11.833457433606354
1962-01-01,46.562,4.271,10.901896511355654
1962-04-01,45.728,4.42,10.345701357466064
1962-07-01,47.292,4.544,10.407570422535212
1962-10-01,47.765,4.646,10.280886784330606
1963-01-01,47.875,4.692,10.203537936913895
1963-04-01,51.843,4.776,10.854899497487438
1963-07-01,53.512,4.871,10.985834530897145
1963-10-01,54.927,4.973,11.045043233460689
1964-01-01,57.599,5.116,11.258600469116498
1964-04-01,57.655,5.234,11.015475735575086
1964-07-01,59.218,5.357,11.054321448571962
1964-10-01,58.417,5.491,10.638681478783464
1965-01-01,65.591,5.652,11.604918612880395
1965-04-01,67.985,5.835,11.651242502142246
1965-07-01,69.351,6.057,11.449727587914808
1965-10-01,73.473,6.321,11.623635500711913
1966-01-01,75.712,6.704,11.293556085918855
1966-04-01,76.11,7.018,10.844970076944998
1966-07-01,75.155,7.342,10.236311631707983
1966-10-01,73.49,7.674,9.576492051081573
1967-01-01,70.198,8.127,8.637627660883473
1967-04-01,70.065,8.449,8.292697360634394
1967-07-01,70.939,8.759,8.098983902271948
1967-10-01,75.332,9.041,8.332264130074106
1968-01-01,77.502,9.391,8.252795229475028
1968-04-01,79.093,9.794,8.075658566469267
1968-07-01,79.282,10.352,7.658616692426584
1968-10-01,81.653,11.055,7.386069651741294
1969-01-01,80.729,11.951,6.754999581624968
1969-04-01,77.968,12.928,6.030940594059405
1969-07-01,74.557,14.034,5.3125979763431666
1969-10-01,72.431,15.261,4.746150317803552
1970-01-01,64.983,16.667,3.8989020219595605
1970-04-01,64.478,17.678,3.6473582984500506
1970-07-01,64.977,18.358,3.53943784726005
1970-10-01,60.251,18.701,3.221806320517619
1971-01-01,70.18,18.799,3.7331772966647168
1971-04-01,72.416,18.849,3.8419014271314125
1971-07-01,74.659,18.937,3.9424935311823415
1971-10-01,76.877,19.075,4.030249017038008
1972-01-01,81.789,19.321,4.233165985197453
1972-04-01,82.518,19.651,4.199175614472546
1972-07-01,86.752,20.137,4.308089586333614
1972-10-01,96.537,20.794,4.642541117630086
1973-01-01,108.423,21.767,4.981072265355814
1973-04-01,109.739,22.89,4.794189602446483
1973-07-01,107.694,24.299,4.432034240092185
1973-10-01,114.688,25.977,4.414982484505524
1974-01-01,117.396,28.051,4.185091440590353
1974-04-01,123.489,29.661,4.163345807626175
1974-07-01,134.134,30.948,4.334173452242471
1974-10-01,118.081,31.907,3.700786661234212
1975-01-01,98.563,32.614,3.0221070705831856
1975-04-01,107.566,32.758,3.2836559008486477
1975-07-01,133.789,32.432,4.125215836211149
1975-10-01,138.944,31.617,4.394597842932599
1976-01-01,153.823,30.336,5.070642141350212
1976-04-01,154.477,29.676,5.205452217279957
1976-07-01,155.241,29.646,5.236490588949605
1976-10-01,152.724,30.248,5.049061094948426
1977-01-01,164.065,31.482,5.211390635918938
1977-04-01,176.226,32.626,5.401397658309325
1977-07-01,182.671,33.615,5.4342109177450535
1977-10-01,184.159,34.442,5.3469310725277275
1978-01-01,178.468,35.19,5.071554418868997
1978-04-01,210.791,36.021,5.8518919519169375
1978-07-01,213.089,37.015,5.756828312846143
1978-10-01,224.773,38.168,5.889043177530916
1979-01-01,224.504,40.134,5.593860567100214
1979-04-01,227.31,42.09,5.400570206699928
1979-07-01,226.334,44.643,5.069865376430795
1979-10-01,220.921,47.792,4.622551891529963
1980-01-01,230.57,52.682,4.376637181580046
1980-04-01,187.91,56.35,3.3346938775510204
1980-07-01,206.632,59.978,3.4451298809563506
1980-10-01,223.037,63.577,3.5081397360680753
1981-01-01,227.528,67.443,3.3736340317008437
1981-04-01,212.32,71.093,2.986510626925295
1981-07-01,221.966,74.742,2.969762650183297
1981-10-01,204.766,78.377,2.61257766946936
1982-01-01,179.803,81.982,2.1932009465492426
1982-04-01,178.849,83.928,2.1309813173196073
1982-07-01,174.945,84.385,2.0731765124133434
1982-10-01,156.563,83.358,1.8782000527843756
1983-01-01,157.49,81.517,1.9319896463314403
1983-04-01,187.864,81.13,2.3155922593368667
1983-07-01,210.082,82.464,2.547560147458285
1983-10-01,215.091,85.511,2.5153605968822728
1984-01-01,238.708,90.317,2.6430018711870416
1984-04-01,237.068,93.658,2.531209293386577
1984-07-01,216.395,95.663,2.2620553401001433
1984-10-01,215.717,96.325,2.2394705424344665
1985-01-01,206.675,95.515,2.1637962623671676
1985-04-01,199.336,95.863,2.0793841210894715
1985-07-01,210.977,97.266,2.169072440523924
1985-10-01,203.194,99.727,2.0375023815014988
1986-01-01,166.407,103.379,1.6096789483357354
1986-04-01,163.918,106.288,1.5422060815896435
1986-07-01,166.46,108.624,1.532442185888938
1986-10-01,184.673,110.39,1.6729142132439532
1987-01-01,196.056,111.739,1.7545888185861696
1987-04-01,221.674,113.888,1.9464210452374262
1987-07-01,237.525,116.977,2.0305273686280207
1987-10-01,234.658,120.998,1.9393543694937105
1988-01-01,250.67,126.748,1.9777037901978727
1988-04-01,260.8,132.324,1.9709198633656781
1988-07-01,265.23,138.364,1.9169003498019717
1988-10-01,281.179,144.836,1.9413612637741995
1989-01-01,270.908,151.773,1.784955163303091
1989-04-01,249.494,157.641,1.582672020603777
1989-07-01,229.645,162.502,1.4131826069832987
1989-10-01,225.881,166.338,1.3579639048203056
1990-01-01,228.11,169.079,1.349132653966489
1990-04-01,238.67,170.351,1.4010484235490253
1990-07-01,249.782,171.17,1.459262721271251
1990-10-01,236.825,168.116,1.4086999452758808
1991-01-01,225.551,164.656,1.3698316490137012
1991-04-01,231.165,160.04,1.444420144963759
1991-07-01,237.625,154.376,1.5392612841374307
1991-10-01,235.312,147.67,1.5934990180808561
1992-01-01,240.672,140.578,1.712017527635903
1992-04-01,262.418,133.267,1.9691146345306791
