date,hyg_shares,hyg_flow_yoy,hyg_flow_3m,hyg_flow_pctl_1y,hyg_flow_pctl_5y,hyg_flow_zscore_3m,hyg_flow_zscore_1y,hyg_flow_zscore_3y,hyg_flow_delta_zscore_3m,hyg_flow_delta_zscore_1y
2007-04-04,200000.0,,,,,,,,,
2007-04-05,200000.0,,,,,,,,,
2007-04-09,200000.0,,,,,,,,,
2007-04-10,200000.0,,,,,,,,,
2007-04-11,200000.0,,,,,,,,,
2007-04-12,200000.0,,,,,,,,,
2007-04-13,200000.0,,,,,,,,,
2007-04-16,200000.0,,,,,,,,,
2007-04-17,200000.0,,,,,,,,,
2007-04-18,200000.0,,,,,,,,,
2007-04-19,200000.0,,,,,,,,,
2007-04-20,200000.0,,,,,,,,,
2007-04-23,200000.0,,,,,,,,,
2007-04-24,200000.0,,,,,,,,,
2007-04-25,300000.0,,,,,,,,,
2007-04-26,300000.0,,,,,,,,,
2007-04-27,300000.0,,,,,,,,,
2007-04-30,300000.0,,,,,,,,,
2007-05-01,400000.0,,,,,,,,,
2007-05-02,500000.0,,,,,,,,,
2007-05-03,500000.0,,,,,,,,,
2007-05-04,500000.0,,,,,,,,,
2007-05-07,500000.0,,,,,,,,,
2007-05-08,500000.0,,,,,,,,,
2007-05-09,500000.0,,,,,,,,,
2007-05-10,500000.0,,,,,,,,,
2007-05-11,500000.0,,,,,,,,,
2007-05-14,500000.0,,,,,,,,,
2007-05-15,500000.0,,,,,,,,,
2007-05-16,500000.0,,,,,,,,,
2007-05-17,500000.0,,,,,,,,,
2007-05-18,500000.0,,,,,,,,,
2007-05-21,500000.0,,,,,,,,,
2007-05-22,700000.0,,,,,,,,,
2007-05-23,700000.0,,,,,,,,,
2007-05-24,700000.0,,,,,,,,,
2007-05-25,700000.0,,,,,,,,,
2007-05-29,700000.0,,,,,,,,,
2007-05-30,700000.0,,,,,,,,,
2007-05-31,700000.0,,,,,,,,,
2007-06-01,700000.0,,,,,,,,,
2007-06-04,800000.0,,,,,,,,,
2007-06-05,800000.0,,,,,,,,,
2007-06-06,800000.0,,,,,,,,,
2007-06-07,900000.0,,,,,,,,,
2007-06-08,900000.0,,,,,,,,,
2007-06-11,900000.0,,,,,,,,,
2007-06-12,900000.0,,,,,,,,,
2007-06-13,900000.0,,,,,,,,,
2007-06-14,900000.0,,,,,,,,,
2007-06-15,900000.0,,,,,,,,,
2007-06-18,900000.0,,,,,,,,,
2007-06-19,900000.0,,,,,,,,,
2007-06-20,900000.0,,,,,,,,,
2007-06-21,900000.0,,,,,,,,,
2007-06-22,900000.0,,,,,,,,,
2007-06-25,900000.0,,,,,,,,,
2007-06-26,900000.0,,,,,,,,,
2007-06-27,900000.0,,,,,,,,,
2007-06-28,900000.0,,,,,,,,,
2007-06-29,900000.0,,,,,,,,,
2007-07-02,900000.0,,,,,,,,,
2007-07-03,900000.0,,,,,,,,,
2007-07-05,900000.0,,-350.0,,,,,,,
2007-07-06,900000.0,,-350.0,,,,,,,
2007-07-09,900000.0,,-350.0,,,,,,,
2007-07-10,900000.0,,-350.0,,,,,,,
2007-07-11,900000.0,,-350.0,,,,,,,
2007-07-12,900000.0,,-350.0,,,,,,,
2007-07-13,900000.0,,-350.0,,,,,,,
2007-07-16,900000.0,,-350.0,,,,,,,
