date,lqd_shares,lqd_flow_yoy,lqd_flow_3m,lqd_flow_pctl_1y,lqd_flow_pctl_5y,lqd_flow_zscore_3m,lqd_flow_zscore_1y,lqd_flow_zscore_3y,lqd_flow_delta_zscore_3m,lqd_flow_delta_zscore_1y
2002-07-22,200000.0,,,,,,,,,
2002-07-23,200000.0,,,,,,,,,
2002-07-24,200000.0,,,,,,,,,
2002-07-25,200000.0,,,,,,,,,
2002-07-26,200000.0,,,,,,,,,
2002-07-29,200000.0,,,,,,,,,
2002-07-30,10200000.0,,,,,,,,,
2002-07-31,10200000.0,,,,,,,,,
2002-08-01,10200000.0,,,,,,,,,
2002-08-02,10200000.0,,,,,,,,,
2002-08-05,10200000.0,,,,,,,,,
2002-08-06,10200000.0,,,,,,,,,
2002-08-07,11200000.0,,,,,,,,,
2002-08-08,11200000.0,,,,,,,,,
2002-08-09,11200000.0,,,,,,,,,
2002-08-12,11200000.0,,,,,,,,,
2002-08-13,12200000.0,,,,,,,,,
2002-08-14,12200000.0,,,,,,,,,
2002-08-15,12200000.0,,,,,,,,,
2002-08-16,12200000.0,,,,,,,,,
2002-08-19,12200000.0,,,,,,,,,
2002-08-20,13200000.0,,,,,,,,,
2002-08-21,13200000.0,,,,,,,,,
2002-08-22,13200000.0,,,,,,,,,
2002-08-23,13200000.0,,,,,,,,,
2002-08-26,13200000.0,,,,,,,,,
2002-08-27,14200000.0,,,,,,,,,
2002-08-28,14200000.0,,,,,,,,,
2002-08-29,14200000.0,,,,,,,,,
2002-08-30,14200000.0,,,,,,,,,
2002-09-03,14200000.0,,,,,,,,,
2002-09-04,15200000.0,,,,,,,,,
2002-09-05,15200000.0,,,,,,,,,
2002-09-06,15200000.0,,,,,,,,,
2002-09-09,15200000.0,,,,,,,,,
2002-09-10,15200000.0,,,,,,,,,
2002-09-11,15200000.0,,,,,,,,,
2002-09-12,15200000.0,,,,,,,,,
2002-09-13,15200000.0,,,,,,,,,
2002-09-16,15200000.0,,,,,,,,,
2002-09-17,15200000.0,,,,,,,,,
2002-09-18,15200000.0,,,,,,,,,
2002-09-19,16200000.0,,,,,,,,,
2002-09-20,16200000.0,,,,,,,,,
2002-09-23,16200000.0,,,,,,,,,
2002-09-24,16200000.0,,,,,,,,,
2002-09-25,16200000.0,,,,,,,,,
2002-09-26,16200000.0,,,,,,,,,
2002-09-27,16200000.0,,,,,,,,,
2002-09-30,16200000.0,,,,,,,,,
2002-10-01,16200000.0,,,,,,,,,
2002-10-02,16200000.0,,,,,,,,,
2002-10-03,16200000.0,,,,,,,,,
2002-10-04,16200000.0,,,,,,,,,
2002-10-07,16200000.0,,,,,,,,,
2002-10-08,16200000.0,,,,,,,,,
2002-10-09,16200000.0,,,,,,,,,
2002-10-10,16200000.0,,,,,,,,,
2002-10-11,16700000.0,,,,,,,,,
2002-10-14,16700000.0,,,,,,,,,
2002-10-15,16700000.0,,,,,,,,,
2002-10-16,16700000.0,,,,,,,,,
2002-10-17,16700000.0,,,,,,,,,
2002-10-18,16700000.0,,-8250.0,,,,,,,
2002-10-21,16700000.0,,-8250.0,,,,,,,
2002-10-22,16700000.0,,-8250.0,,,,,,,
2002-10-23,16700000.0,,-8250.0,,,,,,,
2002-10-24,16700000.0,,-8250.0,,,,,,,
2002-10-25,16700000.0,,-8250.0,,,,,,,
2002-10-28,16700000.0,,-63.725490196078425,,,,,,,
2002-10-29,16700000.0,,-63.725490196078425,,,,,,,
2002-10-30,16700000.0,,-63.725490196078425,,,,,,,
2002-10-31,16700000.0,,-63.725490196078425,,,,,,,
2002-11-01,16700000.0,,-63.725490196078425,,,,,,,
2002-11-04,16700000.0,,-63.725490196078425,,,,,,,
2002-11-05,16700000.0,,-49.10714285714286,,,,,,,
2002-11-06,16700000.0,,-49.10714285714286,,,,,,,
2002-11-07,16700000.0,,-49.10714285714286,,,,,,,
2002-11-08,16700000.0,,-49.10714285714286,,,,,,,
2002-11-11,16700000.0,,-36.88524590163935,,,,,,,
2002-11-12,16700000.0,,-36.88524590163935,,,,,,,
2002-11-13,16700000.0,,-36.88524590163935,,,,,,,
2002-11-14,16700000.0,,-36.88524590163935,,,,,,,
2002-11-15,16700000.0,,-36.88524590163935,,,,,,,
2002-11-18,16700000.0,,-26.515151515151516,,,,,,,
2002-11-19,16700000.0,,-26.515151515151516,,,,,,,
2002-11-20,16700000.0,,-26.515151515151516,,,,,,,
2002-11-21,16700000.0,,-26.515151515151516,,,,,,,
2002-11-22,16700000.0,,-26.515151515151516,,,,,,,
2002-11-25,16700000.0,,-17.6056338028169,,,,,,,
2002-11-26,16700000.0,,-17.6056338028169,,,,,,,
2002-11-27,16700000.0,,-17.6056338028169,,,,,,,
2002-11-29,16700000.0,,-17.6056338028169,,,,,,,
2002-12-02,16700000.0,,-17.6056338028169,,,,,,,
2002-12-03,16700000.0,,-9.868421052631572,,,,,,,
2002-12-04,17200000.0,,-13.157894736842103,,,,,,,
2002-12-05,17200000.0,,-13.157894736842103,,,,,,,
2002-12-06,17200000.0,,-13.157894736842103,,,,,,,
2002-12-09,17200000.0,,-13.157894736842103,,,,,,,
2002-12-10,17200000.0,,-13.157894736842103,,,,,,,
2002-12-11,17200000.0,,-13.157894736842103,,,,,,,
2002-12-12,17200000.0,,-13.157894736842103,,,,,,,
2002-12-13,17200000.0,,-13.157894736842103,,,,,,,
2002-12-16,17200000.0,,-13.157894736842103,,,,,,,
2002-12-17,17200000.0,,-13.157894736842103,,,,,,,
2002-12-18,17200000.0,,-6.172839506172845,,,,,,,
2002-12-19,17200000.0,,-6.172839506172845,,,,,,,
2002-12-20,17200000.0,,-6.172839506172845,,,,,,,
2002-12-23,17200000.0,,-6.172839506172845,,,,,,,
2002-12-24,17200000.0,,-6.172839506172845,,,,,,,
2002-12-26,17200000.0,,-6.172839506172845,,,,,,,
2002-12-27,17200000.0,,-6.172839506172845,,,,,,,
2002-12-30,17200000.0,,-6.172839506172845,,,,,,,
2002-12-31,17200000.0,,-6.172839506172845,,,,,,,
2003-01-02,17200000.0,,-6.172839506172845,,,,,,,
2003-01-03,17000000.0,,-4.938271604938271,,,,,,,
2003-01-06,17000000.0,,-4.938271604938271,,,,,,,
2003-01-07,17000000.0,,-4.938271604938271,,,,,,,
2003-01-08,17000000.0,,-4.938271604938271,,,,,,,
2003-01-09,17500000.0,,-8.024691358024683,,,,,,,
2003-01-10,17500000.0,,-8.024691358024683,,,,,,,
2003-01-13,17500000.0,,-4.79041916167664,,,,,,,
2003-01-14,17500000.0,,-4.79041916167664,,,,,,,
2003-01-15,17500000.0,,-4.79041916167664,,,,,,,
2003-01-16,17500000.0,,-4.79041916167664,,,,,,,
2003-01-17,17500000.0,,-4.79041916167664,,,,,,,
2003-01-21,17500000.0,,-4.79041916167664,,,,,,,
2003-01-22,17500000.0,,-4.79041916167664,,,,,,,
2003-01-23,17500000.0,,-4.79041916167664,,,,,,,
2003-01-24,17500000.0,,-4.79041916167664,,,,,,,
2003-01-27,17500000.0,,-4.79041916167664,,,,,,,
2003-01-28,17500000.0,,-4.79041916167664,,,,,,,
2003-01-29,17500000.0,,-4.79041916167664,,,,,,,
2003-01-30,17500000.0,,-4.79041916167664,,,,,,,
2003-01-31,18000000.0,,-7.784431137724557,,,,,,,
2003-02-03,17900000.0,,-7.18562874251496,,,,,,,
2003-02-04,17900000.0,,-7.18562874251496,,,,,,,
2003-02-05,17900000.0,,-7.18562874251496,,,,,,,
2003-02-06,17900000.0,,-7.18562874251496,,,,,,,
2003-02-07,17900000.0,,-7.18562874251496,,,,,,,
2003-02-10,18400000.0,,-10.179640718562876,,,,,,,
2003-02-11,18400000.0,,-10.179640718562876,,,,,,,
2003-02-12,18400000.0,,-10.179640718562876,,,,,,,
2003-02-13,18400000.0,,-10.179640718562876,,,,,,,
2003-02-14,18400000.0,,-10.179640718562876,,,,,,,
2003-02-18,18400000.0,,-10.179640718562876,,,,,,,
2003-02-19,18400000.0,,-10.179640718562876,,,,,,,
2003-02-20,18400000.0,,-10.179640718562876,,,,,,,
2003-02-21,18400000.0,,-10.179640718562876,,,,,,,
2003-02-24,18400000.0,,-10.179640718562876,,,,,,,
2003-02-25,18400000.0,,-10.179640718562876,,,,,,,
2003-02-26,18900000.0,,-13.173652694610771,,,,,,,
2003-02-27,18900000.0,,-13.173652694610771,,,,,,,
2003-02-28,18900000.0,,-13.173652694610771,,,,,,,
2003-03-03,18800000.0,,-12.574850299401197,,,,,,,
2003-03-04,18800000.0,,-12.574850299401197,,,,,,,
2003-03-05,18800000.0,,-12.574850299401197,,,,,,,
2003-03-06,18800000.0,,-12.574850299401197,,,,,,,
2003-03-07,18800000.0,,-9.302325581395344,,,,,,,
2003-03-10,18800000.0,,-9.302325581395344,,,,,,,
2003-03-11,18800000.0,,-9.302325581395344,,,,,,,
2003-03-12,18800000.0,,-9.302325581395344,,,,,,,
2003-03-13,18800000.0,,-9.302325581395344,,,,,,,
2003-03-14,18800000.0,,-9.302325581395344,,,,,,,
2003-03-17,18800000.0,,-9.302325581395344,,,,,,,
2003-03-18,18800000.0,,-9.302325581395344,,,,,,,
2003-03-19,18800000.0,,-9.302325581395344,,,,,,,
2003-03-20,18800000.0,,-9.302325581395344,,,,,,,
2003-03-21,18800000.0,,-9.302325581395344,,,,,,,
2003-03-24,18800000.0,,-9.302325581395344,,,,,,,
2003-03-25,18800000.0,,-9.302325581395344,,,,,,,
2003-03-26,18800000.0,,-9.302325581395344,,,,,,,
2003-03-27,18800000.0,,-9.302325581395344,,,,,,,
2003-03-28,18800000.0,,-9.302325581395344,,,,,,,
2003-03-31,18800000.0,,-9.302325581395344,,,,,,,
2003-04-01,18700000.0,,-8.720930232558132,,,,,,,
2003-04-02,18700000.0,,-8.720930232558132,,,,,,,
2003-04-03,19700000.0,,-14.534883720930235,,,,,,,
2003-04-04,19700000.0,,-15.882352941176482,,,,,,,
2003-04-07,19700000.0,,-15.882352941176482,,,,,,,
2003-04-08,19700000.0,,-15.882352941176482,,,,,,,
2003-04-09,19700000.0,,-15.882352941176482,,,,,,,
2003-04-10,19700000.0,,-12.571428571428566,,,,,,,
2003-04-11,19700000.0,,-12.571428571428566,,,,,,,
2003-04-14,19700000.0,,-12.571428571428566,,,,,,,
2003-04-15,19700000.0,,-12.571428571428566,,,,,,,
2003-04-16,19700000.0,,-12.571428571428566,,,,,,,
2003-04-17,19700000.0,,-12.571428571428566,,,,,,,
2003-04-21,19700000.0,,-12.571428571428566,,,,,,,
2003-04-22,19700000.0,,-12.571428571428566,,,,,,,
2003-04-23,19700000.0,,-12.571428571428566,,,,,,,
2003-04-24,19700000.0,,-12.571428571428566,,,,,,,
2003-04-25,19700000.0,,-12.571428571428566,,,,,,,
2003-04-28,19700000.0,,-12.571428571428566,,,,,,,
2003-04-29,19700000.0,,-12.571428571428566,,,,,,,
2003-04-30,19700000.0,,-12.571428571428566,,,,,,,
2003-05-01,19600000.0,,-12.00000000000001,,,,,,,
2003-05-02,19600000.0,,-8.888888888888879,,,,,,,
2003-05-05,19600000.0,,-9.49720670391061,,,,,,,
2003-05-06,19600000.0,,-9.49720670391061,,,,,,,
2003-05-07,19600000.0,,-9.49720670391061,,,,,,,
2003-05-08,19600000.0,,-9.49720670391061,,,,,,,
2003-05-09,19600000.0,,-9.49720670391061,,,,,,,
2003-05-12,19600000.0,,-6.521739130434789,,,,,,,
2003-05-13,19600000.0,,-6.521739130434789,,,,,,,
2003-05-14,19600000.0,,-6.521739130434789,,,,,,,
2003-05-15,20100000.0,,-9.239130434782616,,,,,,,
2003-05-16,20100000.0,,-9.239130434782616,,,,,,,
2003-05-19,20100000.0,,-9.239130434782616,,,,,,,
2003-05-20,20100000.0,,-9.239130434782616,,,,,,,
2003-05-21,20100000.0,,-9.239130434782616,,,,,,,
2003-05-22,20100000.0,,-9.239130434782616,,,,,,,
2003-05-23,20100000.0,,-9.239130434782616,,,,,,,
2003-05-27,20100000.0,,-9.239130434782616,,,,,,,
2003-05-28,20100000.0,,-6.349206349206349,,,,,,,
2003-05-29,20100000.0,,-6.349206349206349,,,,,,,
2003-05-30,20100000.0,,-6.349206349206349,,,,,,,
2003-06-02,20000000.0,,-6.382978723404253,,,,,,,
2003-06-03,20000000.0,,-6.382978723404253,,,,,,,
2003-06-04,20000000.0,,-6.382978723404253,,,,,,,
2003-06-05,20000000.0,,-6.382978723404253,,,,,,,
2003-06-06,20000000.0,,-6.382978723404253,,,,,,,
2003-06-09,20000000.0,,-6.382978723404253,,,,,,,
2003-06-10,20000000.0,,-6.382978723404253,,,,,,,
2003-06-11,20500000.0,,-9.042553191489366,,,,,,,
2003-06-12,22000000.0,,-17.021276595744684,,,,,,,
2003-06-13,22000000.0,,-17.021276595744684,,,,,,,
2003-06-16,22000000.0,,-17.021276595744684,,,,,,,
2003-06-17,22000000.0,,-17.021276595744684,,,,,,,
2003-06-18,22000000.0,,-17.021276595744684,,,,,,,
2003-06-19,22000000.0,,-17.021276595744684,,,,,,,
2003-06-20,22000000.0,,-17.021276595744684,,,,,,,
2003-06-23,22000000.0,,-17.021276595744684,,,,,,,
2003-06-24,22000000.0,,-17.021276595744684,,,,,,,
2003-06-25,22000000.0,,-17.021276595744684,,,,,,,
2003-06-26,22000000.0,,-17.021276595744684,,,,,,,
2003-06-27,22000000.0,,-17.021276595744684,,,,,,,
2003-06-30,22000000.0,,-17.021276595744684,,,,,,,
2003-07-01,21900000.0,,-17.112299465240643,,,,,,,
2003-07-02,21900000.0,,-17.112299465240643,,,,,,,
2003-07-03,21900000.0,,-11.16751269035532,,,,,,,
2003-07-07,21900000.0,,-11.16751269035532,,,,,,,
2003-07-08,22400000.0,,-13.705583756345185,,,,,,,
2003-07-09,21400000.0,,-8.629441624365475,,,,,,,
2003-07-10,21400000.0,,-8.629441624365475,,,,,,,
2003-07-11,21400000.0,,-8.629441624365475,,,,,,,
2003-07-14,21400000.0,,-8.629441624365475,,,,,,,
2003-07-15,21400000.0,,-8.629441624365475,,,,,,,
2003-07-16,21400000.0,,-8.629441624365475,,,,,,,
2003-07-17,21400000.0,,-8.629441624365475,,,,,,,
2003-07-18,21400000.0,,-8.629441624365475,,,,,,,
2003-07-21,21400000.0,,-8.629441624365475,,,,,,,
2003-07-22,21400000.0,-10600.0,-8.629441624365475,,,,,,,
2003-07-23,21400000.0,-10600.0,-8.629441624365475,,,,,,,
2003-07-24,21400000.0,-10600.0,-8.629441624365475,,,,,,,
2003-07-25,21400000.0,-10600.0,-8.629441624365475,,,,,,,
2003-07-28,21400000.0,-10600.0,-8.629441624365475,,,,,,,
2003-07-29,21400000.0,-10600.0,-8.629441624365475,,,,,,,
2003-07-30,21400000.0,-109.80392156862746,-8.629441624365475,,,,,,,
2003-07-31,21400000.0,-109.80392156862746,-9.183673469387754,,,,,,,
2003-08-01,21300000.0,-108.82352941176472,-8.673469387755105,,,,,,,
2003-08-04,21300000.0,-108.82352941176472,-8.673469387755105,,,,,,,
2003-08-05,21300000.0,-108.82352941176472,-8.673469387755105,,,,,,,
2003-08-06,21300000.0,-108.82352941176472,-8.673469387755105,,,,,,,
2003-08-07,21300000.0,-90.17857142857142,-8.673469387755105,,,,,,,
2003-08-08,21300000.0,-90.17857142857142,-8.673469387755105,,,,,,,
2003-08-11,21300000.0,-90.17857142857142,-8.673469387755105,,,,,,,
2003-08-12,21300000.0,-90.17857142857142,-8.673469387755105,,,,,,,
2003-08-13,21300000.0,-74.59016393442623,-8.673469387755105,,,,,,,
2003-08-14,21300000.0,-74.59016393442623,-5.970149253731338,,,,,,,
2003-08-15,21300000.0,-74.59016393442623,-5.970149253731338,,,,,,,
2003-08-18,21300000.0,-74.59016393442623,-5.970149253731338,,,,,,,
2003-08-19,21300000.0,-74.59016393442623,-5.970149253731338,,,,,,,
2003-08-20,21300000.0,-61.36363636363635,-5.970149253731338,,,,,,,
2003-08-21,21300000.0,-61.36363636363635,-5.970149253731338,,,,,,,
2003-08-22,21300000.0,-61.36363636363635,-5.970149253731338,,,,,,,
2003-08-25,21300000.0,-61.36363636363635,-5.970149253731338,,,,,,,
2003-08-26,20300000.0,-53.78787878787878,-0.995024875621886,,,,,,,
2003-08-27,20300000.0,-42.95774647887325,-0.995024875621886,,,,,,,
2003-08-28,20300000.0,-42.95774647887325,-0.995024875621886,,,,,,,
2003-08-29,20300000.0,-42.95774647887325,-1.4999999999999902,,,,,,,
2003-09-02,20200000.0,-42.253521126760575,-1.0000000000000009,,,,,,,
2003-09-03,20200000.0,-42.253521126760575,-1.0000000000000009,,,,,,,
2003-09-04,20200000.0,-32.89473684210527,-1.0000000000000009,,,0.4827525058595377,,,,
2003-09-05,20200000.0,-32.89473684210527,-1.0000000000000009,,,0.47388992009597086,,,,
2003-09-08,20200000.0,-32.89473684210527,-1.0000000000000009,,,0.4655007664200813,,,,
2003-09-09,20200000.0,-32.89473684210527,-1.0000000000000009,,,0.4575441698698718,,,,
2003-09-10,20700000.0,-36.184210526315795,-0.9756097560975618,,,0.4491853690202136,,,,
2003-09-11,20700000.0,-36.184210526315795,5.909090909090908,,,0.44200688594904364,,,,
2003-09-12,20700000.0,-36.184210526315795,5.909090909090908,,,0.4351633991646279,,,,
2003-09-15,20700000.0,-36.184210526315795,5.909090909090908,,,0.42862954920282487,,,,
2003-09-16,20700000.0,-36.184210526315795,5.909090909090908,,,0.42238259264194994,,,,
2003-09-17,20700000.0,-36.184210526315795,5.909090909090908,,,0.41640206430523213,,,,
2003-09-18,20700000.0,-36.184210526315795,5.909090909090908,,,0.41066949138001585,,,,
2003-09-19,20700000.0,-27.777777777777768,5.909090909090908,,,0.40738166252385843,,,,
2003-09-22,20700000.0,-27.777777777777768,5.909090909090908,,,0.4020591154423017,,,,
2003-09-23,20700000.0,-27.777777777777768,5.909090909090908,,,0.3969405436893663,,,,
2003-09-24,20700000.0,-27.777777777777768,5.909090909090908,,,0.39201320909025567,,,,
2003-09-25,20700000.0,-27.777777777777768,5.909090909090908,,,0.38726546246214216,,,,
2003-09-26,20700000.0,-27.777777777777768,5.909090909090908,,,0.38268662655340435,,,,
2003-09-29,20700000.0,-27.777777777777768,5.909090909090908,,,0.3782668940267525,,,,
2003-09-30,20700000.0,-27.777777777777768,5.47945205479452,,,0.37399723825073494,,,,
2003-10-01,20700000.0,-27.777777777777768,5.47945205479452,,,0.36986933503924146,,,,
2003-10-02,20600000.0,-27.160493827160504,5.936073059360735,,,0.3660529901077854,,,,
2003-10-03,20600000.0,-27.160493827160504,5.936073059360735,,,0.36218376562223015,,,,
2003-10-06,20600000.0,-27.160493827160504,8.03571428571429,,,0.358434972915389,,,,
2003-10-07,20600000.0,-27.160493827160504,3.738317757009346,,,0.3548004793404537,,,,
2003-10-08,20600000.0,-27.160493827160504,3.738317757009346,,,0.35127458145438384,,,,
2003-10-09,20600000.0,-27.160493827160504,3.738317757009346,,,0.34785196709891536,,,,
2003-10-10,20600000.0,-27.160493827160504,3.738317757009346,,,0.3445276815022224,,,,
2003-10-13,20600000.0,-23.35329341317365,3.738317757009346,,,0.3424586203992612,,,,
2003-10-14,20600000.0,-23.35329341317365,3.738317757009346,,,0.33930443858847537,,,,
2003-10-15,20600000.0,-23.35329341317365,3.738317757009346,,,0.3362359910920173,,,,
2003-10-16,20600000.0,-23.35329341317365,3.738317757009346,,,0.3332494569854842,,,,
2003-10-17,20600000.0,-23.35329341317365,3.738317757009346,,,0.3303412498996251,,,,
2003-10-20,20600000.0,-23.35329341317365,3.738317757009346,,,0.300323961179561,,,,
2003-10-21,20600000.0,-23.35329341317365,3.738317757009346,,,0.2681681122870385,,,,
2003-10-22,20600000.0,-23.35329341317365,3.738317757009346,,,0.23293174869183134,,,,
2003-10-23,20600000.0,-23.35329341317365,3.738317757009346,,,0.19289716039753418,,,,
2003-10-24,21600000.0,-29.34131736526946,-0.9345794392523255,,,0.13986725150760113,,,,
2003-10-27,21600000.0,-29.34131736526946,-0.9345794392523255,,,0.6490893603650857,,,,
2003-10-28,21600000.0,-29.34131736526946,-0.9345794392523255,,,0.6274783314268689,,,,
2003-10-29,21600000.0,-29.34131736526946,-0.9345794392523255,,,0.6066214024478082,,,,
2003-10-30,21600000.0,-29.34131736526946,-1.4084507042253502,,,0.5863471915107701,,,,
2003-10-31,21600000.0,-29.34131736526946,-1.4084507042253502,,,0.5672447076761905,,,,
2003-11-03,21500000.0,-28.742514970059887,-0.9389671361502261,,,0.5770345209361479,,,,
2003-11-04,21500000.0,-28.742514970059887,-0.9389671361502261,,,0.5641902807803676,,,,
2003-11-05,21500000.0,-28.742514970059887,-0.9389671361502261,,,0.5431624697153581,,,,
2003-11-06,21500000.0,-28.742514970059887,-0.9389671361502261,,,0.5230675532016128,,,,
2003-11-07,21500000.0,-28.742514970059887,-0.9389671361502261,,,0.5044170997003216,,,,
2003-11-10,21500000.0,-28.742514970059887,-0.9389671361502261,,,0.48822845892805156,,,,
2003-11-11,21500000.0,-28.742514970059887,-0.9389671361502261,,,0.46487514384298007,,,,
2003-11-12,21500000.0,-28.742514970059887,-0.9389671361502261,,,0.44167991806635,,,,
2003-11-13,21500000.0,-28.742514970059887,-0.9389671361502261,,,0.4188585810728771,,,,
2003-11-14,21500000.0,-28.742514970059887,-0.9389671361502261,,,0.3969364778971161,,,,
2003-11-17,21500000.0,-28.742514970059887,-0.9389671361502261,,,0.37726818136796203,,,,
2003-11-18,21500000.0,-28.742514970059887,-0.9389671361502261,,,0.35020769444489575,,,,
2003-11-19,21500000.0,-28.742514970059887,-0.9389671361502261,,,0.3222215859162262,,,,
2003-11-20,21500000.0,-28.742514970059887,-0.9389671361502261,,,0.2932490429552862,,,,
2003-11-21,21500000.0,-28.742514970059887,-0.9389671361502261,,,0.26373645406669577,,,,
2003-11-24,21600000.0,-29.34131736526946,-6.403940886699511,,,0.11322475425708764,,,,
2003-11-25,21100000.0,-26.347305389221564,-3.9408866995073843,,,0.6802964219132573,,,,
2003-11-26,21100000.0,-26.347305389221564,-3.9408866995073843,,,0.6659219596462551,,,,
2003-11-28,21100000.0,-26.347305389221564,-3.9408866995073843,,,0.6551586591707964,,,,
2003-12-01,21100000.0,-26.347305389221564,-4.455445544554459,,,0.6463642358107318,,,,
2003-12-02,21000000.0,-25.748502994011968,-3.960396039603964,,,0.8099626815955079,,,,
2003-12-03,21000000.0,-25.748502994011968,-3.960396039603964,,,0.7834339935421399,,,,
2003-12-04,21000000.0,-22.093023255813947,-3.960396039603964,,,1.75170439402989,,,,
2003-12-05,21000000.0,-22.093023255813947,-3.960396039603964,,,1.6862340857099545,,,,
2003-12-08,21000000.0,-22.093023255813947,-3.960396039603964,,,1.6259281613636922,,,,
2003-12-09,21000000.0,-22.093023255813947,-1.449275362318847,,,1.5995206940767843,,,,
2003-12-10,21000000.0,-22.093023255813947,-1.449275362318847,,,1.5794367855994738,,,,
2003-12-11,21000000.0,-22.093023255813947,-1.449275362318847,,,1.5666009914124905,,,,
2003-12-12,21000000.0,-22.093023255813947,-1.449275362318847,,,1.5625162529665106,,,,
2003-12-15,21000000.0,-22.093023255813947,-1.449275362318847,,,1.5696203006028444,,,,
2003-12-16,21000000.0,-22.093023255813947,-1.449275362318847,,,1.591983855321817,,,,
2003-12-17,21000000.0,-22.093023255813947,-1.449275362318847,,,1.6368037007605007,,,,
2003-12-18,21000000.0,-22.093023255813947,-1.449275362318847,,,1.5732358773317983,,,,
2003-12-19,21000000.0,-22.093023255813947,-1.449275362318847,,,1.514120593570204,,,,
2003-12-22,21000000.0,-22.093023255813947,-1.449275362318847,,,1.458888609629823,,,,
2003-12-23,21000000.0,-22.093023255813947,-1.449275362318847,,,1.4070657056251734,,,,
2003-12-24,21000000.0,-22.093023255813947,-1.449275362318847,,,1.3582529901495084,,,,
2003-12-26,21000000.0,-22.093023255813947,-1.449275362318847,,,1.3121119665256173,,,,
2003-12-29,21000000.0,-22.093023255813947,-1.449275362318847,,,1.2683530525128182,,,,
2003-12-30,21000000.0,-22.093023255813947,-1.449275362318847,,,1.226726644956215,,,,
2003-12-31,20900000.0,-21.511627906976738,-0.9661835748792313,,,1.3745103977861362,,,,
2004-01-02,20900000.0,-21.511627906976738,-1.4563106796116498,,,1.327801505445923,,,,
2004-01-05,20900000.0,-22.941176470588243,-1.4563106796116498,,,0.8284197991883229,,,,
2004-01-06,20900000.0,-22.941176470588243,-1.4563106796116498,,,0.8041031144852706,,,,
2004-01-07,20900000.0,-22.941176470588243,-1.4563106796116498,,,0.780307070604065,,,,
2004-01-08,20900000.0,-22.941176470588243,-1.4563106796116498,,,0.7569901095063385,,,,
2004-01-09,21400000.0,-22.285714285714285,-3.8834951456310662,,,0.9431576863283264,,,,
2004-01-12,21400000.0,-22.285714285714285,-3.8834951456310662,,,0.9147106818037319,,,,
